2016-05-08 21:55:50.214063|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987
2016-05-08 22:21:14.834660|INFO    |VirtualServer |1  |client 'lunatic'(id:6) was added to channelgroup 'Channel Admin'(id:5) by client 'Vinhi'(id:2) in channel 'Chillen & Grillen & Prokrastinieren'(id:2)
2016-05-08 22:21:20.143543|INFO    |VirtualServer |1  |client 'Hanzo-Low'(id:7) was added to channelgroup 'Channel Admin'(id:5) by client 'Vinhi'(id:2) in channel 'Chillen & Grillen & Prokrastinieren'(id:2)
2016-05-08 22:26:40.347133|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:-1376377152) was added by 'Vinhi'(id:2) to channel 'Dota 2 - THE DREAM IS ALIVE'(id:14)
2016-05-08 22:27:29.997190|INFO    |VirtualServer |1  |servergroup 'Pingu'(id:9) was added by 'lunatic'(id:6)
2016-05-08 22:27:30.074687|INFO    |VirtualServer |1  |permission 'i_group_auto_update_type'(id:146) with values (value:45, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.075666|INFO    |VirtualServer |1  |permission 'i_client_talk_power'(id:219) with values (value:75, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.076739|INFO    |VirtualServer |1  |permission 'i_client_poke_power'(id:221) with values (value:75, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.077532|INFO    |VirtualServer |1  |permission 'i_client_max_clones_uid'(id:173) with values (value:10, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.078287|INFO    |VirtualServer |1  |permission 'b_client_ignore_antiflood'(id:181) with values (value:1, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.079067|INFO    |VirtualServer |1  |permission 'b_client_issue_client_query_command'(id:182) with values (value:1, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.079828|INFO    |VirtualServer |1  |permission 'b_channel_join_permanent'(id:131) with values (value:1, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.080636|INFO    |VirtualServer |1  |permission 'b_channel_join_semi_permanent'(id:132) with values (value:1, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.081430|INFO    |VirtualServer |1  |permission 'b_channel_join_temporary'(id:133) with values (value:1, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.082169|INFO    |VirtualServer |1  |permission 'b_channel_join_ignore_password'(id:134) with values (value:1, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.082814|INFO    |VirtualServer |1  |permission 'b_channel_join_ignore_maxclients'(id:135) with values (value:1, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.083381|INFO    |VirtualServer |1  |permission 'i_channel_join_power'(id:136) with values (value:75, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.084205|INFO    |VirtualServer |1  |permission 'b_virtualserver_token_use'(id:38) with values (value:1, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.085504|INFO    |VirtualServer |1  |permission 'i_channel_description_view_power'(id:140) with values (value:75, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.086108|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_view'(id:190) with values (value:1, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.086661|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_own'(id:191) with values (value:1, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.087496|INFO    |VirtualServer |1  |permission 'b_client_remoteaddress_view'(id:192) with values (value:1, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
2016-05-08 22:27:30.088250|INFO    |VirtualServer |1  |permission 'i_client_serverquery_view_power'(id:193) with values (value:75, negated:0, skipchannel:0) was added by 'lunatic'(id:6) to servergroup 'Pingu'(id:9)
